country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id,confidence interval
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_M,male,NRM_DEC,NRM_DEC_N,“What is the harm in consulting?”,consulting elders,Quote,E.2,,Coded as decision-making because it refers to how decisions are made; nuanced because youth can act but should consult elders first.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_M,male,NRM_DEC,NRM_DEC_N,“we should always consult our elders who have more experience than us”,elders decide,Quote,E.2,,"Decision-making norm is present, but framed positively as elder guidance rather than total denial of agency.",ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_M,male,NRM_DEC,NRM_DEC_N,“I am earning and yet I consult my father and my wife”,consult family,Quote,E.2,,"Decision-making is shared/consultative, so coded as nuanced rather than fully restrictive.",ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_M,male,NRM_DEC,NRM_DEC_N,“We must ask our parents and teachers on matters such as which subject to choose”,subject choice consultation,Quote,E.2,,Educational decisions are not fully individual; consultation with authority figures is expected.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_M,male,NRM_DEC,NRM_DEC_N,“We need to ask our parents if we have to buy expensive clothes”,ask parents,Quote,E.2,,"Shows family oversight over spending decisions; still consultation, not absolute coercion.",ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_M,male,NRM_DEC,NRM_DEC_C,“We live in joint families and the head of the family takes most of the decisions”,family head decides,Quote,E.2,,Stronger confirmation of hierarchical decision-making centered on the family head.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_M,male,NRM_DEC,NRM_DEC_N,“our parents also consult us since we are grown-ups now”,parents consult youth,Quote,E.2,,Nuances the norm by indicating youth are consulted as they grow older.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_M,male,NRM_DEC,NRM_DEC_C,“they take the final decision and they should because they are our elders”,elders final say,Quote,E.2,,"Final authority remains with elders, confirming age-based hierarchy in decision-making.",ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_M,male,ASP,ASP_COL,“Only education can help us get the coveted government jobs”,government jobs,Quote,E.3,,"Occupational aspiration is clearly tied to formal salaried employment, especially government jobs.",ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_M,male,ASP,ASP_COL,“Technical education is also very important since most jobs are done on computer today”,technical education,Quote,E.3,,"Education is linked to employability in modern sectors, so coded as occupational aspiration.",ENU_3,0.95
