country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id,confidence interval
ET,GENNOVATE_ET2,ET2E_F,FG_E Aspirations,ET2E_F,female,NRM_DEC,NRM_DEC_C,“I am under my families control and they are the one who are deciding for me.”,family control,Quote,E.2 ,,"Direct statement that family decides for her, confirming restricted decision-making.",ENU_3,0.95
ET,GENNOVATE_ET2,ET2E_F,FG_E Aspirations,ET2E_F,female,NRM_DEC,NRM_DEC_C,“if it comes to marriage even if I chose by myself they have the power to stop my decision.”,marriage veto,Quote,E.2 ,,"Family can override her marriage choice, confirming restricted agency.",ENU_3,0.95
ET,GENNOVATE_ET2,ET2E_F,FG_E Aspirations,ET2E_F,female,NRM_DEC,NRM_DEC_C,“I have almost no freedom to decide by myself.”,no freedom,Quote,E.2 ,,Very explicit statement of low autonomy.,ENU_3,0.95
ET,GENNOVATE_ET2,ET2E_F,FG_E Aspirations,ET2E_F,female,NRM_MOB,NRM_MOB_C,“my father and my brothers decided for me sometimes they even restricted my movements.”,restricted movement,Quote,E.2 ,,Direct evidence of mobility restrictions by male relatives.,ENU_3,0.95
ET,GENNOVATE_ET2,ET2E_F,FG_E Aspirations,ET2E_F,female,NRM_DEC,NRM_DEC_C,“when it comes to finance he is the one who decide… I just accept his decision.”,husband decides finance,Quote,E.2 ,,Married woman describes husband as final financial decision-maker.,ENU_3,0.95
ET,GENNOVATE_ET2,ET2E_F,FG_E Aspirations,ET2E_F,female,NRM_EQ,NRM_EQ_NO,"“education is not important for a girl, because you will get married to somebody else soon.”",girls’ education devalued,Quote,E.2 ,,Father explicitly devalues girls’ education because of marriage.,ENU_3,0.95
ET,GENNOVATE_ET2,ET2E_F,FG_E Aspirations,ET2E_F,female,NRM_AST,NRM_AST_C,“he is not able to invest in my education anymore because I am going anyway.”,no investment in girl,Quote,E.2 ,,Reflects lower parental investment in daughters because they marry out.,ENU_3,0.95
ET,GENNOVATE_ET2,ET2E_F,FG_E Aspirations,ET2E_F,female,NRM_DEC,NRM_DEC_N,"“I can decide on other things such as when I want to sleep, work or not work in the house.”",limited small choices,Quote,E.2 ,,Nuances agency restriction by noting minor daily decisions remain hers.,ENU_3,0.95
ET,GENNOVATE_ET2,ET2E_F,FG_E Aspirations,ET2E_F,female,NRM_DEC,NRM_DEC_N,“since I am married I and my husband discuss on our issues.”,discuss with husband,Quote,E.2 ,,Nuanced case where wife reports some discussion with husband.,ENU_3,0.95
ET,GENNOVATE_ET2,ET2E_F,FG_E Aspirations,ET2E_F,female,ASP,ASP_COL,“my sisters want to study in XX and discussed with the family now they joined private collage.”,continue study,Quote,E.3,,Shows aspiration for further education and some family support.,ENU_3,0.95
ET,GENNOVATE_ET2,ET2E_F,FG_E Aspirations,ET2E_F,female,GAP,GAP_WID,“I finished 10th grade and forced to drop out of school because I married early (17 years) and get pregnant.”,early marriage dropout,Quote,E.3,,Clear aspiration-attainment gap due to early marriage and pregnancy.,ENU_3,0.95
ET,GENNOVATE_ET2,ET2E_F,FG_E Aspirations,ET2E_F,female,GAP,GAP_WID,“I really regret it.”,regret,Quote,E.3,,Direct statement of regret indicates perceived gap between aspiration and life outcome.,ENU_3,0.85
ET,GENNOVATE_ET2,ET2E_F,FG_E Aspirations,ET2E_F,female,ASP,ASP_COL,“if I did not drop out… I would go to some place either as a nurse or teacher.”,nurse or teacher,Quote,E.3,,Clear occupational aspiration stated retrospectively.,ENU_3,0.95
ET,GENNOVATE_ET2,ET2E_F,FG_E Aspirations,ET2E_F,female,ASP,ASP_COL,“I want to be a doctor or an engineer.”,doctor engineer,Quote,E.3,,Strong direct occupational aspiration.,ENU_3,0.85
ET,GENNOVATE_ET2,ET2E_F,FG_E Aspirations,ET2E_F,female,ASP,ASP_UNSP,“I want to help my younger sisters and to get better income.”,better income,Quote,E.3,,Aspiration tied to income improvement and family support.,ENU_3,0.95
ET,GENNOVATE_ET2,ET2E_F,FG_E Aspirations,ET2E_F,female,ASP,ASP_UNSP,“I want my family to live a better life.”,better life,Quote,E.3,,Broad aspiration for upward mobility and improved living conditions.,ENU_3,0.95
