country,community_code,metadatafile,tool,document_code,gender,indicator_label,category_label,text,keyword,quote or transcriber's summary,data_container,background information,comments,enumerator_id,confidence interval
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_F,female,NRM_DEC,NRM_DEC_C,Our parents take most of the decisions for us,parents decide,Quote,E.2,,Shows limited agency of young women; parents make major life decisions.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_F,female,NRM_DEC,NRM_DEC_N,we must give our opinion at least in all matters,give opinion,Quote,E.2,,Indicates girls can express opinions but final authority not theirs ? nuanced decision-making power.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_F,female,NRM_DEC,NRM_DEC_N,we don’t keep quiet; we speak up when we think we should,speak up,Quote,E.2,,Shows increasing voice among girls ? nuanced agency.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_F,female,NRM_DEC,NRM_DEC_C,the final decision is always theirs,final decision fathers,Quote,E.2,,Confirms male/parental authority despite girls voicing opinions.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_F,female,ASP,ASP_COL,we can think of making a career at school (teacher),teacher,Quote,E.3,,Clear occupational aspiration for teaching.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_F,female,ASP,ASP_UNSP,Education is the key to a better life,better life,Quote,E.3,,Education linked to life aspiration but not specific job.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_F,female,ASP,ASP_UNSP,We can have a better future if we are educate,better future,Quote,E.3,,Education seen as pathway to future success.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_F,female,GAP,GAP_WID,Boys study till class 12th and girls till class 10th,girls stop earlier,Quote,E.4,,Shows gender gap in education attainment.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_F,female,NRM_EQ,NRM_EQ_YS,Girls should also be allowed to study till class 12th,girls should study,Quote,E.5,,Expresses support for equal education.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_F,female,ASP,ASP_COL,They should be allowed to pursue college and technical education too,college technical,Quote,E.5,,Aspirations for higher education and technical careers.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_F,female,GAP,GAP_WID,we have to discontinue our studies since there is no college,no college,Quote,E.5,,Structural barrier preventing education continuation.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_F,female,GAP,GAP_WID,travelling to the nearest college is difficult due to lack of transport,transport problem,Quote,E.5,,Mobility + infrastructure barrier causing aspiration gap.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_F,female,NRM_EQ,NRM_EQ_N,boys are given a preference because boys will take care of parents,boys preference,Quote,E.6,,Shows gender bias still exists in some households.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_F,female,NRM_DIV,NRM_DIV_O,"Girls do all agricultural activities like planting, weeding and harvesting",girls farm,Quote,E.7,,Opposes strict division of labor since girls do all activities.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_F,female,GAP,GAP_WID,Due to poverty,poverty,Quote,E.8,,Poverty is major barrier to education continuation.,ENU_3,0.85
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_F,female,GAP,GAP_WID,Due to safety concerns for girls,safety,Quote,E.8,,Safety concerns restrict girls’ education.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_F,female,GAP,GAP_WID,Because parents need extra hands at farm,farm labor,Quote,E.8,,Household labor demand causes dropout.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_F,female,GAP,GAP_WID,Because of other problems at home including need to take care of younger siblings,care work,Quote,E.8,,Domestic responsibilities cause girls to stop schooling.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_F,female,ASP,ASP_COL,I wanted to be a teacher,teacher,Quote,E.10,,Direct occupational aspiration.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_F,female,ASP,ASP_TRAD,Most of us work as farm labor,farm labor,Quote,E.10,,Traditional livelihood outcome.,ENU_3,0.95
IN,IN7,GENNOVATE_IN7.xlsx,FG_E_Aspirations of Youth,IN7E_F,female,ASP,ASP_COL,Girls should engage in stitching and handicrafts,stitching,Quote,E.12,,Income-generating aspiration.,ENU_3,0.95
