indicator_id,classification_id,context_id,provenance,text_fragment
NRM_MEN,NRM_MEN_C,E_F_E.19,BD3E_F,"Working in the fields, selling crops in the market, a boy can do everything"
NRM_MEN,NRM_MEN_C,E_F_E.19,IN9E_F,"Young women will be lost since they will not know where to begin
	It will be impossible for them to do it"
NRM_MEN,NRM_MEN_C,E_M_E.20,BD3E_M,"It is fully accepted and appreciated if a young man grows wheat, maize, rice and vegetables in the distant fields or nearby and chickens/ducks at home. Society accepted that men can grow and sell any products whether it is agricultural products or animals."
NRM_MEN,NRM_MEN_C,E_M_E.20,IN9E_M,We know mostly everything about agriculture and we will not face any difficulty
NRM_MEN,NRM_MEN_C,E_M_E.20,IN9E_M,We will be able to grow a good crop; we can drive the machine and do everything ourselves
NRM_MEN,NRM_MEN_C,E_F_E.24,ET1E_F,"He will say, who is the man here. How do you know better than me about agriculture?"
NRM_MEN,NRM_MEN_C,E_F_E.14,ET2E_F,Men prefer row planting and improved seeds to get more crop and production and income.
NRM_MEN,NRM_MEN_C,E_F_E.14,IN4E_F,Women dont use machines because they think they are incapable of doing so
NRM_MEN,NRM_MEN_C,E_F_E.14,IN4E_F,Men prefer machines because it saves them time and physical stress
NRM_MEN,NRM_MEN_C,E_F_E.14,IN7E_F,Women cannot drive
NRM_MEN,NRM_MEN_C,E_F_E.14,NP1E_F,tractor and thresher are important for men because they can plough land with an ease
NRM_MEN,NRM_MEN_C,E_F_E.14,UZ3E_F,We think that these points more important for boys because they could find a lot of jobs that they like technical equipment and could drive it
NRM_MEN,NRM_MEN_C,E_M_E.7,ET2E_M,fathers teach us farming because we help them
NRM_MEN,NRM_MEN_C,E_M_E.7,NP1E_M,girls cant do but they know more activities than boys
NRM_MEN,NRM_MEN_C,E_M_E.18,ET2E_M,farming is generally a mans job
NRM_MEN,NRM_MEN_C,E_M_E.18,IN4E_M,"Yes, because women cannot do all agricultural activities"
NRM_MEN,NRM_MEN_C,E_M_E.18,IN4E_M,We cannot expect women to drive tractors
NRM_MEN,NRM_MEN_C,E_F_E.34,ET4E_F,he will not accept because its believed men are more knowledgeable on farming than women
NRM_MEN,NRM_MEN_C,E_F_E.34,ET4E_F,I have also same thought that he will not accept her as he thinks she gets the new knowledge informally
NRM_MEN,NRM_MEN_C,E_F_E.15,IN1E_F,Men know more about agriculture than women
NRM_MEN,NRM_MEN_C,E_F_E.20,IN1E_F,Girls know nothing about selling in the market
NRM_MEN,NRM_MEN_C,E_F_E.20,IN1E_F,Girls will have to learn to drive the tractor; girls here dont know biking then how can they drive a tractor
NRM_MEN,NRM_MEN_C,E_F_E.33,IN1E_F,People think women know nothing about market practices and will get cheated
NRM_MEN,NRM_MEN_C,E_F_E.33,IN9E_F,Women dont know how to trade at the market; they have never done it and will easily be cheated
NRM_MEN,NRM_MEN_C,E_F_E.33,PK2E_F,R.3: David to sell because he go to market and know the market day to day changing prices
NRM_MEN,NRM_MEN_C,E_F_E.33,PK2E_F,R.2: Of course David because he knows the situation of market place and updates as compare with women.
NRM_MEN,NRM_MEN_C,E_M_E.19,IN1E_M,Women dont know anything about the market
NRM_MEN,NRM_MEN_C,E_M_E.19,IN1E_M,Marketplace is for men; they know their trade; they know the prices and they know how to haggle
NRM_MEN,NRM_MEN_C,E_M_E.19,IN7E_M,they cannot drive the tractor and get their field ready for sowing
NRM_MEN,NRM_MEN_C,E_M_E.19,IN9E_M,She will be lost since she would not know how and where to start
NRM_MEN,NRM_MEN_C,E_M_E.19,IN9E_M,She will face too many problems and herself quit
NRM_MEN,NRM_MEN_C,E_M_E.33,IN1E_M,Man will sell the vegetables as he has better idea about it; woman has no idea how transactions happen at marketplace
NRM_MEN,NRM_MEN_C,E_M_E.33,IN1E_M,A woman will be lost at marketplace
NRM_MEN,NRM_MEN_C,E_F_E.7,IN4E_F,We want to learn to operate the machines that boys do but we are not allowed
NRM_MEN,NRM_MEN_C,E_F_E.17,IN4E_F,Since machine is making the lives of men easier therefore they also like using them
NRM_MEN,NRM_MEN_C,E_F_E.17,IN4E_F,Women are scared to use machines
NRM_MEN,NRM_MEN_C,E_F_E.18,IN4E_F,Yes. Men use machines like tractor to get their plot ready for sowing which women do
NRM_MEN,NRM_MEN_C,E_F_E.18,PK2E_F,R.2: Our suggestions dont have much importance according to prevailed customs and traditions.
NRM_MEN,NRM_MEN_C,E_F_E.18,PK2E_F,"R.1: Yes, we follow them because they [men] have more practical experiences and more know how as compare to us."
NRM_MEN,NRM_MEN_C,E_F_E.18,PK2E_F,"R.6: If we dont follow them [men], then we will be in loss."
NRM_MEN,NRM_MEN_C,E_F_E.26,IN4E_F,Men always think they are more capable
NRM_MEN,NRM_MEN_C,E_M_E.13,IN4E_M,Women hardly work with machines
NRM_MEN,NRM_MEN_C,E_M_E.14,IN4E_M,Women dont work with machines
NRM_MEN,NRM_MEN_C,E_M_E.14,PK2E_M,"R1. As mentioned earlier, the women do not have any role in farming activities and they have no knowledge and information about the farming activities. They might be involve in rearing of cattle but that is in their own homes"
NRM_MEN,NRM_MEN_C,E_M_E.14,UZ3E_M,New mechanisms will help in those businesses where men are mostly involved in
NRM_MEN,NRM_MEN_C,E_M_E.15,IN4E_M,Women are not comfortable with new technologies especially machines; they believe machines are meant for men
NRM_MEN,NRM_MEN_C,E_M_E.15,IN9E_M,Women cannot drive tractors like men
NRM_MEN,NRM_MEN_C,E_F_E.40,IN9E_F,She has to return home before dark; she will be constrained by many factors including lack of knowledge about the market prices
NRM_MEN,NRM_MEN_C,E_M_E.24,IN9E_M,Wives will in all likelihood not know much
NRM_MEN,NRM_MEN_N,E_M_E.20,IN9E_M,We can grow our own crop but will need the help [of] our parents in selling ate the marketplace
NRM_MEN,NRM_MEN_N,E_M_E.20,IN9E_M,We will need some guidance from our parents regarding seeds to use
NRM_MEN,NRM_MEN_N,E_F_E.14,NP1E_F,maize cultivation and buffalo raising are important practice for women in the community
