indicator_id,classification_id,context_id,provenance,text_fragment,classification_id,classification_id_rev
NRM_STIG,NRM_STIG_C,E_F_E.18,BD3E_F,People would ill-talk if a girl goes to work in the fields,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.18,BD3E_F,"And the boys go to work in the fields, which the girls cannot do; because their parents or husbands do not allow them to do so. Even their parents-in-law restrict them for this; because it is a matter of reputation",NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.18,BD6E_F,"it is the responsibility of women to do household chores and working outside is the responsibility of men. If they do work in the other way around, people will malign of them. People will not take this normally.",NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.20,BD3E_F,"we have never seen any woman, to grow crops and sell them on her own. It is impossible for a girl because it is a matter of reputation, if she goes in the market, she might be ill-treated by any kind of cheap person, which is why she is not allowed there, by her parents",NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.20,ET1E_F,in the first place she will never even try to do it. She should be crazy to even try. People will never accept that.,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.20,ET1E_F,I coul not even imagine how people will react.,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.20,ET1E_F,"the men would be angry. I am sure even in the market, they would not buy from her.",NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.20,ET1E_F,They may think that she is a thief. Or she must be somebody her husband and whole family have abandoned because of some bad things.,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.20,UZ3E_F,its not good for young girls to work at market and sell her products,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.26,BD3E_F,"If [female spouse] went to the market to sell the crops, [male spouse]?s respect in the society would decrease, his reputation would decrease.",NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.26,ET1E_F,"he will ask her where are you spending your days, where do you learn such disobedience?",NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.26,ET2E_F,If she refuses to give him the income thats the end of their marriage.,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.26,ET2E_F,He may even becoming violence and starts thinking that she saw someone else.,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.26,PK7E_F,Women are not daring that she will do such thing.,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,BD3E_F,"But even if there is the husband?s permission [to sell vegetables in the market], people will still gossip about it.",NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,BD6E_F,"Because [female spouse] sells vegetables by herself in the market, she will not have any honor in the society",NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,BD6E_F,People in the village criticize if any woman goes to the market and sells things.,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,BD6E_F,what is the reason to going to market to sell vegetables when [female spouse] has her husband at home? This means she is a bad woman. People will think like this about her,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,ET1E_F,They will think that she is having some hidden affair with someone,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,ET1E_F,People will hate her.,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,ET1E_F,They will even spread some unfounded stories about her.,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,ET1E_F,The neighbors would not want to associate themselves with her.,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,ET2E_F,a man under his wifes wing is the weakest and controlled type.,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,ET2E_F,he is not a man.,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,ET2E_F,She will be alienated and insulted by fellow women friends and his family.,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,ET2E_F,"She might be considered as greedy, prostitute.",NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,ET4E_F,the community will talk behind them as if she is a man and he is the lady,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,ET4E_F,She would be labeled as a woman who doesnt respect her husband,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,IN1E_F,No one will speak well of her because she has defied the cultural norms of the society,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,IN1E_F,People may think that there are marital problems between the two of them and that she has kind of left her husband,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,IN1E_F,Her friends will ridicule her,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,IN4E_F,People will not talk well of her,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,IN4E_F,They will say she is hobnobbing with men and enjoying,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,IN9E_F,This is unique situation; many women work but for a man to sit at home while his wife works is beyond my comprehension,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,IN9E_F,People may understand that Mary may be working to support her family but no one can forgive Mark for sitting at home,NRM_STIG_C,NRM_STIG_N
NRM_STIG,NRM_STIG_C,E_F_E.28,IN9E_F,older women will say stuff like she has no control over her husband etc,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,IN9E_F,Community will speak ill of Mary and say that she is not a good wife,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,IN9E_F,Mary will be blamed by people for this ironic situation in her family,NRM_STIG_C,
NRM_STIG,NRM_STIG_C,E_F_E.28,NP2E_F,some people take it negatively and say [female spouse] is roaming around in market leaving children and husband at home.,NRM_STIG_C,
